"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Matterbending Mage","U","U","35615","3.69","10581","4.41","58824","87.6%","55.9%","10319","55.4%","17214","60.6%","27533","58.6%","29877","53.1%","5.6pp"
"Paradox Surveyor","UG","U","40724","4.30","9473","5.36","46334","77.5%","55.4%","8107","57.3%","13311","59.4%","21418","58.6%","24017","52.3%","6.3pp"
"Divergent Equation","U","U","49851","5.54","10654","6.80","45159","67.4%","55.7%","7549","52.2%","14158","62.1%","21707","58.6%","21812","51.9%","6.7pp"
"Echocasting Symposium","U","M","3456","1.78","2107","1.75","11516","86.5%","54.7%","1930","54.5%","3428","60.9%","5358","58.6%","5617","49.8%","8.8pp"
"Ajani's Response","W","C","111391","5.00","20839","6.65","104997","78.1%","57.4%","17824","56.5%","28562","59.8%","46386","58.5%","57796","56.3%","2.2pp"
"Sanar, Unfinished Genius","UR","U","35060","3.71","9886","4.44","51953","83.5%","55.1%","9014","59.1%","15556","58.1%","24570","58.5%","26173","51.6%","6.8pp"
"Startled Relic Sloth","WR","U","37457","4.02","9862","4.80","52864","83.0%","57.8%","8907","57.6%","14821","58.8%","23728","58.4%","29151","57.3%","1.0pp"
"Restoration Seminar","W","M","4129","2.13","2080","2.08","10456","78.9%","55.7%","1754","56.4%","2921","59.5%","4675","58.4%","5659","53.1%","5.3pp"
"Unsubtle Mockery","R","C","89594","3.97","24894","4.94","146178","91.9%","56.4%","25373","56.4%","41875","59.5%","67248","58.3%","76108","54.6%","3.7pp"
"Great Hall of the Biblioplex","","R","18265","3.82","4192","4.83","22026","84.4%","55.6%","3967","55.0%","6101","60.4%","10068","58.3%","11543","53.1%","5.2pp"
"Library of Alexandria","","M","1061","2.54","450","","2562","87.1%","56.1%","500","68.6%","713","51.1%","1213","58.3%","1305","53.8%","4.5pp"
"Wisdom of Ages","U","R","20646","4.44","4836","5.27","19999","65.5%","55.5%","3243","50.3%","6510","62.1%","9753","58.2%","9469","51.2%","6.9pp"
